year,gene,method,subtype,region,continent,mismatch
2014,pH1N1 HA protein,current-system,H1N1,GER,Europe,12.57142857
2015,pH1N1 HA protein,current-system,H1N1,GER,Europe,13.25
2016,pH1N1 HA protein,current-system,H1N1,GER,Europe,16.27692308
2017,pH1N1 HA protein,current-system,H1N1,GER,Europe,17.88888889
2018,pH1N1 HA protein,current-system,H1N1,GER,Europe,4.6
2019,pH1N1 HA protein,current-system,H1N1,GER,Europe,8.24
2013,pH1N1 HA protein,current-system,H1N1,FR,Europe,12.88235294
2014,pH1N1 HA protein,current-system,H1N1,FR,Europe,13.13114754
2015,pH1N1 HA protein,current-system,H1N1,FR,Europe,12.68115942
2016,pH1N1 HA protein,current-system,H1N1,FR,Europe,16.45962733
2017,pH1N1 HA protein,current-system,H1N1,FR,Europe,18.05263158
2018,pH1N1 HA protein,current-system,H1N1,FR,Europe,5.102766798
2019,pH1N1 HA protein,current-system,H1N1,FR,Europe,8.336898396
2013,pH1N1 HA protein,current-system,H1N1,HK,Asia,13.11764706
2014,pH1N1 HA protein,current-system,H1N1,HK,Asia,12.76923077
2015,pH1N1 HA protein,current-system,H1N1,HK,Asia,14
2016,pH1N1 HA protein,current-system,H1N1,HK,Asia,16.82608696
2017,pH1N1 HA protein,current-system,H1N1,HK,Asia,18.6097561
2018,pH1N1 HA protein,current-system,H1N1,HK,Asia,6.062937063
2019,pH1N1 HA protein,current-system,H1N1,HK,Asia,7.813953488
2013,pH1N1 HA protein,current-system,H1N1,SCP,Asia,13
2014,pH1N1 HA protein,current-system,H1N1,SCP,Asia,12.71698113
2015,pH1N1 HA protein,current-system,H1N1,SCP,Asia,13
2016,pH1N1 HA protein,current-system,H1N1,SCP,Asia,17.56896552
2017,pH1N1 HA protein,current-system,H1N1,SCP,Asia,17.42424242
2018,pH1N1 HA protein,current-system,H1N1,SCP,Asia,6.138888889
2019,pH1N1 HA protein,current-system,H1N1,SCP,Asia,7.995983936
2013,pH1N1 HA protein,current-system,H1N1,JP,Asia,14.40909091
2014,pH1N1 HA protein,current-system,H1N1,JP,Asia,13.52941176
2015,pH1N1 HA protein,current-system,H1N1,JP,Asia,15.2972973
2016,pH1N1 HA protein,current-system,H1N1,JP,Asia,17.91967871
2017,pH1N1 HA protein,current-system,H1N1,JP,Asia,19.26035503
2018,pH1N1 HA protein,current-system,H1N1,JP,Asia,7.375
2019,pH1N1 HA protein,current-system,H1N1,JP,Asia,10.10644258
2013,pH1N1 HA protein,current-system,H1N1,SG,Asia,13.06060606
2014,pH1N1 HA protein,current-system,H1N1,SG,Asia,13.25
2015,pH1N1 HA protein,current-system,H1N1,SG,Asia,13.97457627
2016,pH1N1 HA protein,current-system,H1N1,SG,Asia,16.68345324
2017,pH1N1 HA protein,current-system,H1N1,SG,Asia,18.87096774
2018,pH1N1 HA protein,current-system,H1N1,SG,Asia,6.064516129
2019,pH1N1 HA protein,current-system,H1N1,SG,Asia,8.168224299
2013,pH1N1 HA protein,beth-1 final,H1N1,NY,North America,10
2014,pH1N1 HA protein,beth-1 final,H1N1,NY,North America,3.833333333
2015,pH1N1 HA protein,beth-1 final,H1N1,NY,North America,4
2016,pH1N1 HA protein,beth-1 final,H1N1,NY,North America,2.75
2017,pH1N1 HA protein,beth-1 final,H1N1,NY,North America,3.875
2018,pH1N1 HA protein,beth-1 final,H1N1,NY,North America,7.896551724
2019,pH1N1 HA protein,beth-1 final,H1N1,NY,North America,6.78125
2013,pH1N1 HA protein,beth-1 final,H1N1,CA,North America,10.57142857
2014,pH1N1 HA protein,beth-1 final,H1N1,CA,North America,5
2015,pH1N1 HA protein,beth-1 final,H1N1,CA,North America,1.4
2016,pH1N1 HA protein,beth-1 final,H1N1,CA,North America,2.569620253
2017,pH1N1 HA protein,beth-1 final,H1N1,CA,North America,2.395833333
2018,pH1N1 HA protein,beth-1 final,H1N1,CA,North America,6.68627451
2019,pH1N1 HA protein,beth-1 final,H1N1,CA,North America,4.98630137
2013,pH1N1 HA protein,beth-1 final,H1N1,CAN,North America,11.66666667
2014,pH1N1 HA protein,beth-1 final,H1N1,CAN,North America,4
2015,pH1N1 HA protein,beth-1 final,H1N1,CAN,North America,3.5
2016,pH1N1 HA protein,beth-1 final,H1N1,CAN,North America,3.103448276
2017,pH1N1 HA protein,beth-1 final,H1N1,CAN,North America,3.714285714
2018,pH1N1 HA protein,beth-1 final,H1N1,CAN,North America,7.272727273
2019,pH1N1 HA protein,beth-1 final,H1N1,CAN,North America,4.581881533
2013,pH1N1 HA protein,beth-1 final,H1N1,UK,Europe,10.81818182
2014,pH1N1 HA protein,beth-1 final,H1N1,UK,Europe,4.914893617
2015,pH1N1 HA protein,beth-1 final,H1N1,UK,Europe,2
2016,pH1N1 HA protein,beth-1 final,H1N1,UK,Europe,2.824175824
2017,pH1N1 HA protein,beth-1 final,H1N1,UK,Europe,2.703703704
2018,pH1N1 HA protein,beth-1 final,H1N1,UK,Europe,5.514285714
2019,pH1N1 HA protein,beth-1 final,H1N1,UK,Europe,4.841637011
2013,pH1N1 HA protein,beth-1 final,H1N1,GER,Europe,10.16666667
2014,pH1N1 HA protein,beth-1 final,H1N1,GER,Europe,4.142857143
2015,pH1N1 HA protein,beth-1 final,H1N1,GER,Europe,1.25
2016,pH1N1 HA protein,beth-1 final,H1N1,GER,Europe,2.323076923
2017,pH1N1 HA protein,beth-1 final,H1N1,GER,Europe,2.111111111
2018,pH1N1 HA protein,beth-1 final,H1N1,GER,Europe,5.6
2019,pH1N1 HA protein,beth-1 final,H1N1,GER,Europe,5.28
2013,pH1N1 HA protein,beth-1 final,H1N1,FR,Europe,9.764705882
2014,pH1N1 HA protein,beth-1 final,H1N1,FR,Europe,4.590163934
2015,pH1N1 HA protein,beth-1 final,H1N1,FR,Europe,0.68115942
2016,pH1N1 HA protein,beth-1 final,H1N1,FR,Europe,2.677018634
2017,pH1N1 HA protein,beth-1 final,H1N1,FR,Europe,2.157894737
2018,pH1N1 HA protein,beth-1 final,H1N1,FR,Europe,6.102766798
2019,pH1N1 HA protein,beth-1 final,H1N1,FR,Europe,5.342245989
2013,pH1N1 HA protein,beth-1 final,H1N1,HK,Asia,10.76470588
2014,pH1N1 HA protein,beth-1 final,H1N1,HK,Asia,3.769230769
2015,pH1N1 HA protein,beth-1 final,H1N1,HK,Asia,2
2016,pH1N1 HA protein,beth-1 final,H1N1,HK,Asia,3.173913043
2017,pH1N1 HA protein,beth-1 final,H1N1,HK,Asia,2.707317073
2018,pH1N1 HA protein,beth-1 final,H1N1,HK,Asia,7.027972028
2019,pH1N1 HA protein,beth-1 final,H1N1,HK,Asia,4.813953488
2013,pH1N1 HA protein,beth-1 final,H1N1,SCP,Asia,11.47368421
2014,pH1N1 HA protein,beth-1 final,H1N1,SCP,Asia,4.20754717
2015,pH1N1 HA protein,beth-1 final,H1N1,SCP,Asia,1.615384615
2016,pH1N1 HA protein,beth-1 final,H1N1,SCP,Asia,5.867816092
2017,pH1N1 HA protein,beth-1 final,H1N1,SCP,Asia,2.888888889
2018,pH1N1 HA protein,beth-1 final,H1N1,SCP,Asia,7.101851852
2019,pH1N1 HA protein,beth-1 final,H1N1,SCP,Asia,5.180722892
2013,pH1N1 HA protein,beth-1 final,H1N1,JP,Asia,11.12121212
2014,pH1N1 HA protein,beth-1 final,H1N1,JP,Asia,4.75210084
2015,pH1N1 HA protein,beth-1 final,H1N1,JP,Asia,3.432432432
2016,pH1N1 HA protein,beth-1 final,H1N1,JP,Asia,4.285140562
2017,pH1N1 HA protein,beth-1 final,H1N1,JP,Asia,3.627218935
2018,pH1N1 HA protein,beth-1 final,H1N1,JP,Asia,8.295454545
2019,pH1N1 HA protein,beth-1 final,H1N1,JP,Asia,7.145658263
2013,pH1N1 HA protein,beth-1 final,H1N1,SG,Asia,7.96969697
2014,pH1N1 HA protein,beth-1 final,H1N1,SG,Asia,4.25
2015,pH1N1 HA protein,beth-1 final,H1N1,SG,Asia,2.059322034
2016,pH1N1 HA protein,beth-1 final,H1N1,SG,Asia,3.215827338
2017,pH1N1 HA protein,beth-1 final,H1N1,SG,Asia,3.048387097
2018,pH1N1 HA protein,beth-1 final,H1N1,SG,Asia,7.064516129
2019,pH1N1 HA protein,beth-1 final,H1N1,SG,Asia,5.196261682
2013,pH1N1 HA protein,Neher LBI,H1N1,NY,North America,11.2
2014,pH1N1 HA protein,Neher LBI,H1N1,NY,North America,4.833333333
2015,pH1N1 HA protein,Neher LBI,H1N1,NY,North America,4
2016,pH1N1 HA protein,Neher LBI,H1N1,NY,North America,4.442307692
2017,pH1N1 HA protein,Neher LBI,H1N1,NY,North America,4.875
2018,pH1N1 HA protein,Neher LBI,H1N1,NY,North America,7.896551724
2019,pH1N1 HA protein,Neher LBI,H1N1,NY,North America,7.78125
2013,pH1N1 HA protein,Neher LBI,H1N1,CA,North America,9.571428571
2014,pH1N1 HA protein,Neher LBI,H1N1,CA,North America,5.666666667
2015,pH1N1 HA protein,Neher LBI,H1N1,CA,North America,1.4
2016,pH1N1 HA protein,Neher LBI,H1N1,CA,North America,4.493670886
2017,pH1N1 HA protein,Neher LBI,H1N1,CA,North America,3.395833333
2018,pH1N1 HA protein,Neher LBI,H1N1,CA,North America,6.68627451
2019,pH1N1 HA protein,Neher LBI,H1N1,CA,North America,5.98630137
2013,pH1N1 HA protein,Neher LBI,H1N1,CAN,North America,9
2014,pH1N1 HA protein,Neher LBI,H1N1,CAN,North America,5.166666667
2015,pH1N1 HA protein,Neher LBI,H1N1,CAN,North America,3.5
2016,pH1N1 HA protein,Neher LBI,H1N1,CAN,North America,4.689655172
2017,pH1N1 HA protein,Neher LBI,H1N1,CAN,North America,4.714285714
2018,pH1N1 HA protein,Neher LBI,H1N1,CAN,North America,7.393939394
2019,pH1N1 HA protein,Neher LBI,H1N1,CAN,North America,5.578397213
2013,pH1N1 HA protein,Neher LBI,H1N1,UK,Europe,8.636363636
2014,pH1N1 HA protein,Neher LBI,H1N1,UK,Europe,5.957446809
2015,pH1N1 HA protein,Neher LBI,H1N1,UK,Europe,2
2016,pH1N1 HA protein,Neher LBI,H1N1,UK,Europe,4.587912088
2017,pH1N1 HA protein,Neher LBI,H1N1,UK,Europe,3.703703704
2018,pH1N1 HA protein,Neher LBI,H1N1,UK,Europe,5.508571429
2019,pH1N1 HA protein,Neher LBI,H1N1,UK,Europe,5.838078292
2013,pH1N1 HA protein,Neher LBI,H1N1,GER,Europe,9.5
2014,pH1N1 HA protein,Neher LBI,H1N1,GER,Europe,5.142857143
2015,pH1N1 HA protein,Neher LBI,H1N1,GER,Europe,1.25
2016,pH1N1 HA protein,Neher LBI,H1N1,GER,Europe,4.292307692
2017,pH1N1 HA protein,Neher LBI,H1N1,GER,Europe,3.111111111
2018,pH1N1 HA protein,Neher LBI,H1N1,GER,Europe,5.6
2019,pH1N1 HA protein,Neher LBI,H1N1,GER,Europe,6.24
2013,pH1N1 HA protein,Neher LBI,H1N1,FR,Europe,10.58823529
2014,pH1N1 HA protein,Neher LBI,H1N1,FR,Europe,5.786885246
2015,pH1N1 HA protein,Neher LBI,H1N1,FR,Europe,0.68115942
2016,pH1N1 HA protein,Neher LBI,H1N1,FR,Europe,4.527950311
2017,pH1N1 HA protein,Neher LBI,H1N1,FR,Europe,3.157894737
2018,pH1N1 HA protein,Neher LBI,H1N1,FR,Europe,6.122529644
2019,pH1N1 HA protein,Neher LBI,H1N1,FR,Europe,6.342245989
2013,pH1N1 HA protein,Neher LBI,H1N1,HK,Asia,10.23529412
2014,pH1N1 HA protein,Neher LBI,H1N1,HK,Asia,4.769230769
2015,pH1N1 HA protein,Neher LBI,H1N1,HK,Asia,2
2016,pH1N1 HA protein,Neher LBI,H1N1,HK,Asia,4.826086957
2017,pH1N1 HA protein,Neher LBI,H1N1,HK,Asia,3.707317073
2018,pH1N1 HA protein,Neher LBI,H1N1,HK,Asia,7.034965035
2019,pH1N1 HA protein,Neher LBI,H1N1,HK,Asia,5.813953488
2013,pH1N1 HA protein,Neher LBI,H1N1,SCP,Asia,10.42105263
2014,pH1N1 HA protein,Neher LBI,H1N1,SCP,Asia,5.41509434
2015,pH1N1 HA protein,Neher LBI,H1N1,SCP,Asia,1.615384615
2016,pH1N1 HA protein,Neher LBI,H1N1,SCP,Asia,6.155172414
2017,pH1N1 HA protein,Neher LBI,H1N1,SCP,Asia,3.646464646
2018,pH1N1 HA protein,Neher LBI,H1N1,SCP,Asia,7.407407407
2019,pH1N1 HA protein,Neher LBI,H1N1,SCP,Asia,6.108433735
2013,pH1N1 HA protein,Neher LBI,H1N1,JP,Asia,12.10606061
2014,pH1N1 HA protein,Neher LBI,H1N1,JP,Asia,5.567226891
2015,pH1N1 HA protein,Neher LBI,H1N1,JP,Asia,3.432432432
2016,pH1N1 HA protein,Neher LBI,H1N1,JP,Asia,5.959839357
2017,pH1N1 HA protein,Neher LBI,H1N1,JP,Asia,4.615384615
2018,pH1N1 HA protein,Neher LBI,H1N1,JP,Asia,8.369318182
2019,pH1N1 HA protein,Neher LBI,H1N1,JP,Asia,8.131652661
2013,pH1N1 HA protein,Neher LBI,H1N1,SG,Asia,11.06060606
2014,pH1N1 HA protein,Neher LBI,H1N1,SG,Asia,5.25
2015,pH1N1 HA protein,Neher LBI,H1N1,SG,Asia,2.059322034
2016,pH1N1 HA protein,Neher LBI,H1N1,SG,Asia,4.741007194
2017,pH1N1 HA protein,Neher LBI,H1N1,SG,Asia,4.032258065
2018,pH1N1 HA protein,Neher LBI,H1N1,SG,Asia,7.024193548
2019,pH1N1 HA protein,Neher LBI,H1N1,SG,Asia,6.177570093
2013,pH1N1 HA protein,answer strain,H1N1,NY,North America,6.4
2014,pH1N1 HA protein,answer strain,H1N1,NY,North America,0.833333333
2015,pH1N1 HA protein,answer strain,H1N1,NY,North America,4
2016,pH1N1 HA protein,answer strain,H1N1,NY,North America,1.019230769
2017,pH1N1 HA protein,answer strain,H1N1,NY,North America,3.875
2018,pH1N1 HA protein,answer strain,H1N1,NY,North America,3.896551724
2019,pH1N1 HA protein,answer strain,H1N1,NY,North America,6.75
2013,pH1N1 HA protein,answer strain,H1N1,CA,North America,3
2014,pH1N1 HA protein,answer strain,H1N1,CA,North America,2.333333333
2015,pH1N1 HA protein,answer strain,H1N1,CA,North America,1.4
2016,pH1N1 HA protein,answer strain,H1N1,CA,North America,0.670886076
2017,pH1N1 HA protein,answer strain,H1N1,CA,North America,2.395833333
2018,pH1N1 HA protein,answer strain,H1N1,CA,North America,2.725490196
2019,pH1N1 HA protein,answer strain,H1N1,CA,North America,5.157534247
2013,pH1N1 HA protein,answer strain,H1N1,CAN,North America,3.666666667
2014,pH1N1 HA protein,answer strain,H1N1,CAN,North America,1.166666667
2015,pH1N1 HA protein,answer strain,H1N1,CAN,North America,3.5
2016,pH1N1 HA protein,answer strain,H1N1,CAN,North America,1.655172414
2017,pH1N1 HA protein,answer strain,H1N1,CAN,North America,3.714285714
2018,pH1N1 HA protein,answer strain,H1N1,CAN,North America,3.393939394
2019,pH1N1 HA protein,answer strain,H1N1,CAN,North America,5.013937282
2013,pH1N1 HA protein,answer strain,H1N1,UK,Europe,3.909090909
2014,pH1N1 HA protein,answer strain,H1N1,UK,Europe,2.042553191
2015,pH1N1 HA protein,answer strain,H1N1,UK,Europe,2
2016,pH1N1 HA protein,answer strain,H1N1,UK,Europe,1.266483516
2017,pH1N1 HA protein,answer strain,H1N1,UK,Europe,2.703703704
2018,pH1N1 HA protein,answer strain,H1N1,UK,Europe,1.525714286
2019,pH1N1 HA protein,answer strain,H1N1,UK,Europe,3.78113879
2013,pH1N1 HA protein,answer strain,H1N1,GER,Europe,3.833333333
2014,pH1N1 HA protein,answer strain,H1N1,GER,Europe,1.142857143
2015,pH1N1 HA protein,answer strain,H1N1,GER,Europe,1.25
2016,pH1N1 HA protein,answer strain,H1N1,GER,Europe,0.692307692
2017,pH1N1 HA protein,answer strain,H1N1,GER,Europe,2.111111111
2018,pH1N1 HA protein,answer strain,H1N1,GER,Europe,1.6
2019,pH1N1 HA protein,answer strain,H1N1,GER,Europe,4.08
2013,pH1N1 HA protein,answer strain,H1N1,FR,Europe,5.058823529
2014,pH1N1 HA protein,answer strain,H1N1,FR,Europe,2.114754098
2015,pH1N1 HA protein,answer strain,H1N1,FR,Europe,0.68115942
2016,pH1N1 HA protein,answer strain,H1N1,FR,Europe,0.950310559
2017,pH1N1 HA protein,answer strain,H1N1,FR,Europe,2.157894737
2018,pH1N1 HA protein,answer strain,H1N1,FR,Europe,2.150197628
2019,pH1N1 HA protein,answer strain,H1N1,FR,Europe,4.026737968
2013,pH1N1 HA protein,answer strain,H1N1,HK,Asia,4.941176471
2014,pH1N1 HA protein,answer strain,H1N1,HK,Asia,0.769230769
2015,pH1N1 HA protein,answer strain,H1N1,HK,Asia,2
2016,pH1N1 HA protein,answer strain,H1N1,HK,Asia,1.869565217
2017,pH1N1 HA protein,answer strain,H1N1,HK,Asia,2.707317073
2018,pH1N1 HA protein,answer strain,H1N1,HK,Asia,3.076923077
2019,pH1N1 HA protein,answer strain,H1N1,HK,Asia,3.88372093
2013,pH1N1 HA protein,answer strain,H1N1,SCP,Asia,3.789473684
2014,pH1N1 HA protein,answer strain,H1N1,SCP,Asia,2.075471698
2015,pH1N1 HA protein,answer strain,H1N1,SCP,Asia,1.615384615
2016,pH1N1 HA protein,answer strain,H1N1,SCP,Asia,6.925287356
2017,pH1N1 HA protein,answer strain,H1N1,SCP,Asia,2.888888889
2018,pH1N1 HA protein,answer strain,H1N1,SCP,Asia,3.560185185
2019,pH1N1 HA protein,answer strain,H1N1,SCP,Asia,5.273092369
2013,pH1N1 HA protein,answer strain,H1N1,JP,Asia,7.151515152
2014,pH1N1 HA protein,answer strain,H1N1,JP,Asia,1.857142857
2015,pH1N1 HA protein,answer strain,H1N1,JP,Asia,3.432432432
2016,pH1N1 HA protein,answer strain,H1N1,JP,Asia,2.919678715
2017,pH1N1 HA protein,answer strain,H1N1,JP,Asia,3.627218935
2018,pH1N1 HA protein,answer strain,H1N1,JP,Asia,4.448863636
2019,pH1N1 HA protein,answer strain,H1N1,JP,Asia,5.201680672
2013,pH1N1 HA protein,answer strain,H1N1,SG,Asia,6.545454545
2014,pH1N1 HA protein,answer strain,H1N1,SG,Asia,1.25
2015,pH1N1 HA protein,answer strain,H1N1,SG,Asia,2.059322034
2016,pH1N1 HA protein,answer strain,H1N1,SG,Asia,2.28057554
2017,pH1N1 HA protein,answer strain,H1N1,SG,Asia,3.048387097
2018,pH1N1 HA protein,answer strain,H1N1,SG,Asia,3.096774194
2019,pH1N1 HA protein,answer strain,H1N1,SG,Asia,1.981308411
2013,pH1N1 HA epitope,current-system,H1N1,NY,North America,3.2
2014,pH1N1 HA epitope,current-system,H1N1,NY,North America,3.166666667
2015,pH1N1 HA epitope,current-system,H1N1,NY,North America,4.5
2016,pH1N1 HA epitope,current-system,H1N1,NY,North America,4.038461538
2017,pH1N1 HA epitope,current-system,H1N1,NY,North America,5.5
2018,pH1N1 HA epitope,current-system,H1N1,NY,North America,2.310344828
2019,pH1N1 HA epitope,current-system,H1N1,NY,North America,3.4375
2013,pH1N1 HA epitope,current-system,H1N1,CA,North America,2.714285714
2014,pH1N1 HA epitope,current-system,H1N1,CA,North America,3.083333333
2015,pH1N1 HA epitope,current-system,H1N1,CA,North America,3.2
2016,pH1N1 HA epitope,current-system,H1N1,CA,North America,4.075949367
2017,pH1N1 HA epitope,current-system,H1N1,CA,North America,5.0625
2018,pH1N1 HA epitope,current-system,H1N1,CA,North America,2.254901961
2019,pH1N1 HA epitope,current-system,H1N1,CA,North America,2.856164384
2013,pH1N1 HA epitope,current-system,H1N1,CAN,North America,2.333333333
2014,pH1N1 HA epitope,current-system,H1N1,CAN,North America,3
2015,pH1N1 HA epitope,current-system,H1N1,CAN,North America,3.5
2016,pH1N1 HA epitope,current-system,H1N1,CAN,North America,4.310344828
2017,pH1N1 HA epitope,current-system,H1N1,CAN,North America,6
2018,pH1N1 HA epitope,current-system,H1N1,CAN,North America,2.575757576
2019,pH1N1 HA epitope,current-system,H1N1,CAN,North America,3.038327526
2013,pH1N1 HA epitope,current-system,H1N1,UK,Europe,3.090909091
2014,pH1N1 HA epitope,current-system,H1N1,UK,Europe,3.510638298
2015,pH1N1 HA epitope,current-system,H1N1,UK,Europe,3.363636364
2016,pH1N1 HA epitope,current-system,H1N1,UK,Europe,3.978021978
2017,pH1N1 HA epitope,current-system,H1N1,UK,Europe,5.407407407
2018,pH1N1 HA epitope,current-system,H1N1,UK,Europe,2.194285714
2019,pH1N1 HA epitope,current-system,H1N1,UK,Europe,2.774021352
2013,pH1N1 HA epitope,current-system,H1N1,GER,Europe,3.166666667
2014,pH1N1 HA epitope,current-system,H1N1,GER,Europe,3
2015,pH1N1 HA epitope,current-system,H1N1,GER,Europe,3.3125
2016,pH1N1 HA epitope,current-system,H1N1,GER,Europe,3.969230769
2017,pH1N1 HA epitope,current-system,H1N1,GER,Europe,4.333333333
2018,pH1N1 HA epitope,current-system,H1N1,GER,Europe,2.15
2019,pH1N1 HA epitope,current-system,H1N1,GER,Europe,2.9
2013,pH1N1 HA epitope,current-system,H1N1,FR,Europe,2.647058824
2014,pH1N1 HA epitope,current-system,H1N1,FR,Europe,3.163934426
2015,pH1N1 HA epitope,current-system,H1N1,FR,Europe,3.115942029
2016,pH1N1 HA epitope,current-system,H1N1,FR,Europe,4.01242236
2017,pH1N1 HA epitope,current-system,H1N1,FR,Europe,5.052631579
2018,pH1N1 HA epitope,current-system,H1N1,FR,Europe,2.363636364
2019,pH1N1 HA epitope,current-system,H1N1,FR,Europe,3
2013,pH1N1 HA epitope,current-system,H1N1,HK,Asia,3.352941176
2014,pH1N1 HA epitope,current-system,H1N1,HK,Asia,3.076923077
2015,pH1N1 HA epitope,current-system,H1N1,HK,Asia,3.181818182
2016,pH1N1 HA epitope,current-system,H1N1,HK,Asia,3.913043478
2017,pH1N1 HA epitope,current-system,H1N1,HK,Asia,4.536585366
2018,pH1N1 HA epitope,current-system,H1N1,HK,Asia,2.237762238
2019,pH1N1 HA epitope,current-system,H1N1,HK,Asia,3.290697674
2013,pH1N1 HA epitope,current-system,H1N1,SCP,Asia,2.947368421
2014,pH1N1 HA epitope,current-system,H1N1,SCP,Asia,3.132075472
2015,pH1N1 HA epitope,current-system,H1N1,SCP,Asia,3.230769231
2016,pH1N1 HA epitope,current-system,H1N1,SCP,Asia,3.448275862
2017,pH1N1 HA epitope,current-system,H1N1,SCP,Asia,4.191919192
2018,pH1N1 HA epitope,current-system,H1N1,SCP,Asia,2.291666667
2019,pH1N1 HA epitope,current-system,H1N1,SCP,Asia,2.927710843
2013,pH1N1 HA epitope,current-system,H1N1,JP,Asia,3.318181818
2014,pH1N1 HA epitope,current-system,H1N1,JP,Asia,3.121848739
2015,pH1N1 HA epitope,current-system,H1N1,JP,Asia,3.594594595
2016,pH1N1 HA epitope,current-system,H1N1,JP,Asia,4.008032129
2017,pH1N1 HA epitope,current-system,H1N1,JP,Asia,4.875739645
2018,pH1N1 HA epitope,current-system,H1N1,JP,Asia,2.835227273
2019,pH1N1 HA epitope,current-system,H1N1,JP,Asia,3.81512605
2013,pH1N1 HA epitope,current-system,H1N1,SG,Asia,2.848484848
2014,pH1N1 HA epitope,current-system,H1N1,SG,Asia,3.333333333
2015,pH1N1 HA epitope,current-system,H1N1,SG,Asia,3.127118644
2016,pH1N1 HA epitope,current-system,H1N1,SG,Asia,3.90647482
2017,pH1N1 HA epitope,current-system,H1N1,SG,Asia,5
2018,pH1N1 HA epitope,current-system,H1N1,SG,Asia,2.379032258
2019,pH1N1 HA epitope,current-system,H1N1,SG,Asia,3.485981308
2013,pH1N1 HA epitope,beth-1 final,H1N1,NY,North America,1.2
2014,pH1N1 HA epitope,beth-1 final,H1N1,NY,North America,1.166666667
2015,pH1N1 HA epitope,beth-1 final,H1N1,NY,North America,1.5
2016,pH1N1 HA epitope,beth-1 final,H1N1,NY,North America,1.038461538
2017,pH1N1 HA epitope,beth-1 final,H1N1,NY,North America,1.5
2018,pH1N1 HA epitope,beth-1 final,H1N1,NY,North America,2.310344828
2019,pH1N1 HA epitope,beth-1 final,H1N1,NY,North America,1.46875
2013,pH1N1 HA epitope,beth-1 final,H1N1,CA,North America,0.714285714
2014,pH1N1 HA epitope,beth-1 final,H1N1,CA,North America,1.25
2015,pH1N1 HA epitope,beth-1 final,H1N1,CA,North America,0.2
2016,pH1N1 HA epitope,beth-1 final,H1N1,CA,North America,1.075949367
2017,pH1N1 HA epitope,beth-1 final,H1N1,CA,North America,1.0625
2018,pH1N1 HA epitope,beth-1 final,H1N1,CA,North America,2.254901961
2019,pH1N1 HA epitope,beth-1 final,H1N1,CA,North America,0.863013699
2013,pH1N1 HA epitope,beth-1 final,H1N1,CAN,North America,0.333333333
2014,pH1N1 HA epitope,beth-1 final,H1N1,CAN,North America,1
2015,pH1N1 HA epitope,beth-1 final,H1N1,CAN,North America,0.5
2016,pH1N1 HA epitope,beth-1 final,H1N1,CAN,North America,1.310344828
2017,pH1N1 HA epitope,beth-1 final,H1N1,CAN,North America,2.142857143
2018,pH1N1 HA epitope,beth-1 final,H1N1,CAN,North America,2.575757576
2019,pH1N1 HA epitope,beth-1 final,H1N1,CAN,North America,1.080139373
2013,pH1N1 HA epitope,beth-1 final,H1N1,UK,Europe,1.090909091
2014,pH1N1 HA epitope,beth-1 final,H1N1,UK,Europe,1.510638298
2015,pH1N1 HA epitope,beth-1 final,H1N1,UK,Europe,0.363636364
2016,pH1N1 HA epitope,beth-1 final,H1N1,UK,Europe,0.997252747
2017,pH1N1 HA epitope,beth-1 final,H1N1,UK,Europe,1.407407407
